0.0	1.2	2.2	4.1	2.7	5.4	0.7	6.1	22.9	7.5	14.7	21.1	27.9	6.9	18.6	30.9	42.8	59.2	11.9	31.6	23.5	53.5	61.1	62.1	128.2	129.0	150.9	130.2	143.1	149.6	129.6	135.6	168.3	161.3	150.2	141.4	112.3	119.9	123.5	115.6	132.1	141.5	134.6	121.7	110.2	112.1	116.6	115.9	78.4	100.6	65.3	63.7	72.4	30.1	25.4	29.5	29.8	34.6	26.2	24.0	46.6	39.1	52.6	75.4	64.1	56.8	86.3	46.0	108.7	108.4	104.3	83.7	60.0	105.1	106.7	82.4	54.8	112.4	67.7	68.3	47.5	55.2	104.7	107.9	106.9	96.3	83.6	82.1	94.8	89.0	178.1	199.1	202.4	192.9	170.7	167.4
1.2	0.0	3.1	2.7	2.9	4.4	0.5	5.1	22.0	6.1	14.7	21.1	28.6	11.2	19.2	31.5	43.4	59.8	9.6	29.4	21.2	54.2	61.8	62.8	128.9	129.7	151.6	130.9	143.8	150.3	130.3	136.3	169.0	162.0	150.9	142.1	113.0	120.6	124.2	116.3	132.8	142.2	135.3	122.4	110.9	112.8	117.3	116.6	79.1	101.3	66.0	64.4	73.1	29.2	24.5	28.6	28.8	33.7	25.3	23.0	44.3	38.2	51.6	74.5	63.2	55.9	85.3	45.0	106.4	106.1	102.1	81.5	57.8	102.8	104.4	80.1	52.5	110.1	68.3	68.9	48.1	55.9	105.3	108.6	107.5	96.9	84.2	82.7	95.5	89.6	178.8	199.8	203.2	193.6	171.4	168.1
1.9	3.1	0.0	4.3	4.5	9.9	2.3	10.6	29.8	9.3	14.7	22.4	24.8	4.6	19.7	32.0	49.0	65.3	20.5	40.2	32.1	50.4	58.0	59.0	125.1	125.9	147.8	127.0	140.0	146.4	126.5	132.5	165.2	158.2	147.0	138.3	109.2	116.8	120.3	112.5	129.0	138.4	131.5	118.6	107.1	108.9	113.5	112.7	75.3	97.5	62.2	60.5	69.2	37.0	30.0	36.4	36.6	41.5	33.1	28.5	55.2	43.6	59.4	82.3	71.0	63.7	93.1	52.8	117.3	117.0	113.0	92.4	68.7	113.7	115.3	91.0	63.4	121.0	68.9	69.5	48.7	56.4	105.8	109.1	108.0	97.5	84.8	83.2	96.0	90.1	175.0	195.9	199.3	189.8	167.5	164.3
4.1	2.7	6.6	0.0	5.3	4.0	3.4	4.6	23.9	3.3	12.2	18.7	25.9	8.5	23.7	35.9	52.9	69.3	12.7	32.5	24.3	51.5	59.1	60.1	126.2	127.0	148.9	128.1	141.1	147.6	127.6	133.6	166.3	159.3	148.1	139.4	110.3	117.9	121.4	113.6	130.1	139.5	132.6	119.7	108.2	110.0	114.6	113.8	76.4	98.6	63.3	61.6	70.4	31.1	24.0	30.5	30.7	35.6	27.2	22.6	47.4	37.7	53.5	76.4	65.0	57.7	87.2	46.9	109.5	109.3	105.2	84.6	60.9	106.0	107.5	83.3	55.6	113.2	72.8	73.4	52.6	60.3	109.8	113.0	112.0	101.4	88.7	87.2	99.9	94.1	176.1	197.0	200.4	190.9	168.7	165.4
2.7	3.1	4.5	14.1	0.0	10.9	2.6	12.9	28.3	16.8	25.8	33.6	33.6	13.4	18.7	30.9	47.9	64.3	9.3	29.0	20.8	59.2	66.9	67.8	133.9	134.8	156.6	135.9	148.8	155.3	135.3	141.4	174.1	167.0	155.9	147.1	118.1	125.6	129.2	121.3	137.9	147.3	140.3	127.4	115.9	117.8	122.4	121.6	84.2	106.3	71.1	69.4	78.1	35.5	37.1	34.9	35.1	40.0	31.6	29.4	44.0	44.5	57.9	80.8	69.5	62.2	91.7	51.3	106.0	105.8	101.7	81.1	57.4	102.5	104.1	79.8	52.2	109.8	67.8	68.4	47.6	55.3	104.7	108.0	106.9	96.4	83.7	82.1	94.9	89.0	183.8	204.8	208.2	198.7	176.4	173.2
5.3	4.4	9.9	3.9	11.4	0.0	5.1	1.8	20.4	6.6	15.6	25.7	29.2	11.8	26.0	38.2	55.2	71.6	9.2	29.0	20.8	54.8	62.4	63.4	129.5	130.3	152.2	131.5	144.4	150.9	130.9	136.9	169.6	162.6	151.4	142.7	113.6	121.2	124.8	116.9	133.4	142.8	135.9	123.0	111.5	113.4	117.9	117.2	79.7	101.9	66.6	65.0	73.7	27.6	21.2	27.0	27.2	32.1	23.7	19.8	44.0	34.9	50.0	72.9	61.6	54.3	83.8	43.4	106.0	105.8	101.7	81.1	57.4	102.5	104.1	79.8	52.1	109.8	75.1	75.7	54.9	62.6	112.1	115.3	114.2	103.7	91.0	89.5	102.2	96.4	179.4	200.4	203.7	194.2	172.0	168.7
0.7	0.7	2.2	3.4	2.6	4.9	0.0	5.6	22.5	6.7	14.6	21.0	28.3	6.6	18.7	30.9	42.9	59.3	11.8	31.6	23.4	53.9	61.5	62.5	128.6	129.4	151.3	130.6	143.5	150.0	130.0	136.0	168.7	161.7	150.6	141.8	112.7	120.3	123.9	116.0	132.5	141.9	135.0	122.1	110.6	112.5	117.0	116.3	78.8	101.0	65.7	64.1	72.8	29.6	25.0	29.1	29.3	34.2	25.7	23.5	46.6	38.7	52.1	74.9	63.6	56.3	85.8	45.5	108.6	108.4	104.3	83.7	60.0	105.1	106.6	82.4	54.7	112.3	67.8	68.4	47.6	55.3	104.8	108.0	106.9	96.4	83.7	82.2	94.9	89.1	178.5	199.5	202.9	193.3	171.1	167.8
6.0	5.2	10.6	4.6	6.9	2.0	5.9	0.0	17.2	6.2	21.0	22.5	29.9	12.5	27.9	40.2	57.2	73.5	11.2	31.0	22.8	55.5	63.1	64.1	130.2	131.0	152.9	132.2	145.1	151.6	131.6	137.6	170.3	163.3	152.1	143.4	114.3	121.9	125.5	117.6	134.1	143.5	136.6	123.7	112.2	114.1	118.6	117.9	80.4	102.6	67.3	65.7	74.4	24.4	19.7	23.8	24.0	28.9	20.5	18.2	46.0	33.4	46.8	69.7	58.3	51.0	80.5	40.2	108.0	107.8	89.1	83.1	59.4	104.5	106.1	81.8	54.1	111.7	77.1	77.7	56.9	64.6	114.0	117.3	116.2	105.7	93.0	91.4	104.2	98.3	180.1	201.1	204.4	194.9	172.7	169.4
19.8	26.2	23.7	25.7	29.6	22.4	19.6	17.9	0.0	13.9	5.6	7.1	21.9	19.0	44.1	56.4	73.4	89.7	27.4	47.2	39.0	48.9	56.6	57.6	123.6	124.5	146.3	125.6	138.5	145.0	125.1	131.1	163.8	156.8	145.6	136.8	107.8	115.3	118.9	111.0	127.6	137.0	130.1	117.1	105.7	107.5	112.1	71.6	73.9	96.0	60.8	59.1	67.8	19.1	20.8	18.6	18.8	23.7	12.2	22.1	48.5	37.3	41.6	64.4	53.1	45.8	75.3	35.0	124.2	124.0	93.0	99.3	75.6	120.7	122.3	98.0	70.3	127.9	93.3	93.9	73.1	80.8	130.2	133.5	132.4	121.9	109.2	107.6	120.4	114.5	173.5	194.5	197.9	188.4	166.1	162.9
8.4	6.1	8.5	3.3	8.6	6.5	8.2	7.1	20.0	0.0	8.9	15.3	22.6	9.2	26.0	38.3	55.2	71.6	15.2	35.0	26.8	48.2	55.9	56.8	122.9	123.8	145.6	124.9	137.8	144.3	124.4	130.4	163.1	156.1	144.9	136.1	107.1	114.6	118.2	110.3	126.9	136.3	129.3	116.4	104.9	106.8	111.4	110.6	73.2	95.3	60.1	58.4	67.1	27.2	28.8	26.6	26.8	31.7	23.3	22.7	50.0	37.9	49.6	72.5	61.1	53.9	83.3	43.0	112.0	111.8	107.7	87.1	63.4	108.5	110.0	85.8	58.1	115.7	75.1	75.7	55.0	62.7	112.1	115.4	114.3	103.7	91.0	89.5	102.3	96.4	172.8	193.8	197.2	187.7	165.4	162.2
